YEAR,DOY,T2M,QV2M,PRECTOTCORR,WS2M,PS,RH2M,T2MDEW
2000,116,28.38,11.02,0.0,3.45,91.37,47.19,13.53
2000,117,29.07,10.75,0.0,3.26,91.34,44.82,13.34
2000,118,30.38,11.25,2.64,1.44,91.31,40.23,14.22
2000,119,30.71,12.28,0.04,2.35,91.33,44.18,15.58
2000,120,30.55,11.69,0.0,2.9,91.43,42.95,14.72
2000,121,30.87,11.85,0.01,2.6,91.48,42.29,15.09
2000,122,30.53,13.19,1.95,2.37,91.46,47.83,16.72
2000,123,30.75,11.83,0.16,1.58,91.47,41.4,15.05
2000,124,28.69,13.12,7.52,1.96,91.63,52.32,16.67
2000,125,27.55,13.98,0.63,1.62,91.55,59.47,17.67
2000,126,27.45,14.28,13.23,1.47,91.51,59.24,18.07
2000,127,27.41,14.17,1.67,1.58,91.57,59.84,17.93
2000,128,26.09,14.49,3.13,1.73,91.64,64.26,18.37
2000,129,24.15,15.16,0.27,2.39,91.62,74.96,19.11
2000,130,24.08,14.04,0.15,1.16,91.63,69.74,17.85
2000,131,26.29,14.08,7.14,1.33,91.51,62.81,17.82
2000,132,24.87,15.59,0.73,2.1,91.54,73.97,19.53
2000,133,26.26,14.64,0.01,2.12,91.55,65.4,18.52
2000,134,27.23,14.01,0.0,2.43,91.55,59.88,17.78
2000,135,28.18,13.16,0.0,2.92,91.51,54.48,16.76
2000,136,28.38,12.19,0.01,3.8,91.52,49.64,15.59
2000,137,26.14,13.91,4.6,4.15,91.63,63.06,17.7
2000,138,24.54,14.45,0.28,4.23,91.62,70.78,18.32
2000,139,25.97,13.24,0.0,4.95,91.5,62.0,16.86
2000,140,25.8,13.84,0.76,4.68,91.45,64.51,17.62
2000,141,26.48,13.88,0.04,4.68,91.44,62.6,17.64
2000,142,26.98,13.73,0.35,4.28,91.41,60.53,17.45
2000,143,27.77,13.93,0.0,3.87,91.38,58.08,17.71
2000,144,27.11,14.77,1.93,2.69,91.36,62.64,18.61
2000,145,25.34,15.79,1.35,1.73,91.42,72.14,19.71
2000,146,25.32,15.05,0.17,2.27,91.41,69.57,18.93
2000,147,25.6,15.4,1.71,2.68,91.28,70.43,19.28
2000,148,24.61,15.71,0.09,2.92,91.32,75.13,19.61
2000,149,23.48,14.09,0.05,3.38,91.44,72.25,17.93
2000,150,24.62,14.06,0.0,2.91,91.52,68.6,17.89
2000,151,22.8,14.2,1.75,2.72,91.57,75.28,18.04
2000,152,23.17,15.41,10.94,3.05,91.45,80.33,19.33
2000,153,22.97,15.27,11.14,3.36,91.31,80.38,19.17
2000,154,22.95,14.68,3.58,3.87,91.22,77.83,18.51
2000,155,23.39,15.21,11.18,4.53,91.1,78.72,19.07
2000,156,22.36,14.21,1.43,4.95,91.03,77.84,17.99
2000,157,22.64,14.98,0.1,6.19,90.85,79.9,18.79
2000,158,23.47,15.71,1.43,7.9,90.79,79.46,19.54
2000,159,23.8,15.06,0.4,7.63,91.09,75.43,18.89
2000,160,24.36,13.93,0.09,6.67,91.32,69.47,17.7
2000,161,24.0,14.35,0.15,5.77,91.4,72.37,18.19
2000,162,22.14,13.18,0.2,5.62,91.47,73.66,16.88
2000,163,21.52,13.53,0.84,6.01,91.46,78.04,17.29
2000,164,22.05,13.81,8.89,5.55,91.55,77.74,17.63
2000,165,22.81,13.39,0.07,4.93,91.62,73.12,17.16
2000,166,23.05,13.32,1.2,5.04,91.63,71.9,17.07
2000,167,23.74,13.62,0.04,4.16,91.55,70.72,17.39
2000,168,24.79,14.79,7.48,4.29,91.47,72.02,18.68
2000,169,24.37,14.11,0.27,5.13,91.44,70.65,17.93
2000,170,24.53,14.26,2.04,5.12,91.32,70.48,18.07
2000,171,24.18,15.35,1.81,4.82,91.22,75.96,19.24
2000,172,24.31,15.62,0.2,4.51,91.21,76.63,19.51
2000,173,23.34,15.62,1.52,3.46,91.35,80.18,19.56
2000,174,23.4,14.85,1.7,3.33,91.47,76.88,18.74
2000,175,24.67,14.12,0.7,3.67,91.49,69.67,17.94
2000,176,24.69,13.36,0.04,3.65,91.45,66.34,16.98
2000,177,25.15,12.77,0.01,4.02,91.41,62.71,16.24
2000,178,23.33,13.06,0.03,4.18,91.46,69.13,16.64
2000,179,22.13,13.59,4.58,5.2,91.43,75.79,17.36
2000,180,22.75,13.3,2.87,6.04,91.33,72.53,16.99
2000,181,22.71,14.22,1.89,5.63,91.18,76.66,18.03
2000,182,22.44,14.75,2.79,5.16,91.09,80.07,18.59
2000,183,22.79,14.01,0.59,4.98,91.2,75.55,17.79
2000,184,23.49,13.88,0.5,5.05,91.24,72.52,17.64
2000,185,22.66,14.05,13.39,5.3,91.18,76.52,17.82
2000,186,21.41,14.03,6.9,4.87,91.15,80.97,17.79
2000,187,23.07,15.03,7.72,5.48,91.14,79.17,18.89
2000,188,22.86,15.1,0.35,5.0,91.18,80.07,18.97
2000,189,22.67,15.29,3.73,5.25,91.14,81.63,19.17
2000,190,22.64,14.44,0.83,6.02,91.18,78.14,18.27
2000,191,22.0,13.82,1.21,6.53,91.21,77.34,17.58
2000,192,22.25,13.75,0.16,6.31,91.23,76.5,17.52
2000,193,22.96,14.89,7.35,6.09,91.18,79.22,18.75
2000,194,22.69,14.83,2.14,6.8,91.21,79.4,18.69
2000,195,22.99,13.95,0.2,7.12,91.31,74.38,17.75
2000,196,23.22,14.43,0.78,6.02,91.44,75.83,18.31
2000,197,23.81,14.14,0.04,5.96,91.37,72.58,17.97
2000,198,23.75,13.97,0.04,5.71,91.37,72.02,17.78
2000,199,23.65,13.91,0.1,5.98,91.41,72.27,17.72
2000,200,22.75,13.72,0.03,6.18,91.37,74.49,17.49
2000,201,23.18,13.3,0.12,5.7,91.32,71.17,16.97
2000,202,24.11,13.65,0.65,4.87,91.38,70.01,17.39
2000,203,24.9,13.84,0.02,3.25,91.45,67.95,17.61
2000,204,24.73,14.04,0.14,2.68,91.58,68.25,17.87
2000,205,24.72,13.59,0.15,3.23,91.52,66.82,17.32
2000,206,24.83,13.69,0.66,2.8,91.44,66.81,17.4
2000,207,24.46,13.5,0.86,2.96,91.53,67.54,17.19
2000,208,24.09,13.14,0.01,3.57,91.54,67.62,16.75
2000,209,24.08,13.37,1.39,4.08,91.39,68.64,17.07
2000,210,24.81,14.14,0.84,3.8,91.31,69.5,17.93
2000,211,24.66,14.75,4.46,3.14,91.37,71.93,18.6
2000,212,22.41,15.53,30.11,2.49,91.5,84.06,19.48
2000,213,22.65,15.82,38.02,1.8,91.45,84.52,19.76
2000,214,23.11,15.01,61.9,2.5,91.35,79.04,18.89
2000,215,22.76,15.64,5.03,2.47,91.42,83.44,19.58
2000,216,23.26,15.89,15.52,2.59,91.41,82.23,19.84
2000,217,23.26,15.9,5.91,1.75,91.4,82.01,19.84
2000,218,23.51,15.6,0.52,1.08,91.38,79.96,19.52
2000,219,22.71,16.01,4.29,1.83,91.32,85.28,19.95
2000,220,22.96,15.65,2.03,3.94,91.34,82.7,19.58
2000,221,21.85,14.84,3.24,4.91,91.45,83.55,18.76
2000,222,21.69,14.51,9.39,5.52,91.3,82.65,18.36
2000,223,21.4,14.3,3.7,5.16,91.18,82.39,18.09
2000,224,22.36,14.68,0.06,4.94,91.22,80.57,18.55
2000,225,23.22,15.29,0.01,4.03,91.43,79.86,19.22
2000,226,23.16,15.71,22.97,2.32,91.66,81.7,19.69
2000,227,22.92,16.3,17.01,1.47,91.62,85.72,20.28
2000,228,22.32,15.48,2.74,1.35,91.58,84.63,19.44
2000,229,22.62,15.69,3.2,2.51,91.58,84.45,19.66
2000,230,22.68,15.43,3.52,3.48,91.5,82.97,19.39
2000,231,22.43,15.28,1.6,3.48,91.48,83.33,19.22
2000,232,21.43,14.26,2.37,4.22,91.53,82.67,18.14
2000,233,21.32,14.06,1.61,5.06,91.49,82.23,17.91
2000,234,21.85,15.02,2.27,5.21,91.27,84.3,18.9
2000,235,22.49,15.12,7.92,6.5,91.11,81.88,18.99
2000,236,21.58,14.95,4.95,7.06,91.08,84.85,18.81
2000,237,21.12,14.4,0.94,7.06,91.02,84.09,18.2
2000,238,21.97,14.64,0.98,6.89,91.01,81.59,18.44
2000,239,22.02,14.79,2.14,5.84,91.34,82.51,18.69
2000,240,21.97,14.84,0.32,5.33,91.44,83.19,18.75
2000,241,22.03,15.18,0.51,4.8,91.44,84.63,19.12
2000,242,22.31,15.15,0.45,4.25,91.45,83.2,19.09
2000,243,21.95,14.63,0.45,4.36,91.53,82.21,18.54
2000,244,22.5,14.94,0.24,4.06,91.55,81.53,18.88
2000,245,22.58,14.84,0.41,4.22,91.56,80.75,18.78
2000,246,22.91,15.25,3.19,4.39,91.46,81.2,19.19
2000,247,22.88,15.74,0.96,3.88,91.43,83.45,19.68
2000,248,22.82,15.5,1.7,3.3,91.58,82.72,19.45
2000,249,23.02,15.49,0.11,2.7,91.58,81.78,19.45
2000,250,23.49,15.13,0.11,2.75,91.47,78.36,19.06
2000,251,22.8,15.11,7.44,2.54,91.5,81.04,19.05
2000,252,22.88,14.64,1.32,2.13,91.65,78.76,18.55
2000,253,22.98,14.9,0.12,2.22,91.71,79.61,18.86
2000,254,23.2,14.56,0.03,3.18,91.62,77.28,18.46
2000,255,22.14,14.42,0.09,3.18,91.52,80.44,18.3
2000,256,23.03,15.54,1.55,2.28,91.47,81.93,19.47
2000,257,23.56,15.86,0.92,2.14,91.48,81.06,19.81
2000,258,23.83,15.29,0.01,1.0,91.46,77.63,19.21
2000,259,23.74,15.41,2.77,1.3,91.38,78.17,19.33
2000,260,23.39,16.7,47.38,1.72,91.44,85.16,20.63
2000,261,23.7,17.41,22.15,1.4,91.5,87.23,21.31
2000,262,23.95,16.9,7.65,1.25,91.42,83.92,20.83
2000,263,21.83,15.39,21.79,1.74,91.42,86.46,19.32
2000,264,22.53,15.22,23.61,1.43,91.42,82.59,19.13
2000,265,23.05,16.09,4.99,1.3,91.39,84.55,20.02
2000,266,23.43,16.84,5.0,2.41,91.47,86.05,20.78
2000,267,22.37,15.96,3.69,2.82,91.51,86.96,19.93
2000,268,21.73,15.44,1.89,2.5,91.53,87.44,19.4
2000,269,22.35,15.78,5.45,1.6,91.47,86.25,19.72
2000,270,22.21,15.89,1.1,1.62,91.48,87.32,19.85
2000,271,23.01,16.35,1.3,2.36,91.49,85.74,20.31
2000,272,23.31,16.47,0.15,1.44,91.53,84.75,20.43
2000,273,22.36,16.33,8.98,1.95,91.57,88.62,20.31
2000,274,21.76,16.58,35.48,2.34,91.47,92.73,20.51
2000,275,21.74,16.03,46.17,2.72,91.56,90.22,20.0
2000,276,20.78,15.08,6.31,2.15,91.62,90.07,19.03
2000,277,21.15,15.61,3.1,2.58,91.6,91.01,19.57
2000,278,21.65,15.5,0.72,1.87,91.59,88.01,19.46
2000,279,21.42,15.57,5.13,1.53,91.66,89.55,19.56
2000,280,22.12,15.88,11.82,1.43,91.66,87.8,19.86
2000,281,22.14,15.72,11.56,0.99,91.64,87.15,19.7
2000,282,22.57,15.99,10.11,1.24,91.56,86.33,19.95
2000,283,21.69,15.87,3.13,2.31,91.5,89.57,19.82
2000,284,21.36,15.31,9.49,1.84,91.61,88.43,19.26
2000,285,21.87,15.82,2.87,1.49,91.7,88.66,19.81
2000,286,22.59,15.9,4.73,1.6,91.7,85.55,19.89
2000,287,22.74,16.02,3.88,1.54,91.57,85.39,20.0
2000,288,22.51,15.73,0.15,1.75,91.55,85.3,19.7
2000,289,22.17,15.06,0.22,1.79,91.59,83.51,19.01
2000,290,21.31,13.05,0.41,2.14,91.57,76.87,16.73
2000,291,20.96,12.05,0.05,2.32,91.45,72.81,15.43
2000,292,21.72,15.36,0.34,2.6,91.37,86.8,19.28
2000,293,21.31,15.74,1.0,1.83,91.41,90.56,19.66
2000,294,22.2,16.36,7.0,2.28,91.49,89.63,20.31
2000,295,22.86,16.13,18.05,1.12,91.59,85.35,20.08
2000,296,22.8,16.61,57.31,1.12,91.56,87.86,20.56
2000,297,22.33,15.46,3.73,1.42,91.54,84.87,19.42
2000,298,20.13,11.86,0.21,1.78,91.67,76.5,15.19
2000,299,19.52,10.28,0.0,1.92,91.8,67.63,13.02
2000,300,21.04,11.71,0.0,1.56,91.73,69.39,14.98
2000,301,22.09,12.2,0.0,1.25,91.67,68.39,15.68
2000,302,21.16,11.93,0.0,1.23,91.79,71.26,15.37
2000,303,20.7,10.39,0.0,1.35,91.84,64.13,13.25
2000,304,20.55,9.9,0.0,1.23,91.79,61.01,12.44
2000,305,20.01,11.35,0.01,1.23,91.68,72.87,14.55
2000,306,19.75,12.74,0.02,1.88,91.7,82.35,16.4
2000,307,20.86,14.37,0.22,2.41,91.72,86.02,18.28
2000,308,21.6,14.96,0.28,1.71,91.86,85.89,18.95
2000,309,22.02,15.38,0.11,1.9,91.98,86.33,19.41
2000,310,22.07,14.69,0.0,1.81,91.89,82.67,18.67
2000,311,21.82,14.6,0.02,1.67,91.69,83.12,18.54
2000,312,20.54,13.69,0.0,2.02,91.73,84.42,17.52
2000,313,20.21,13.05,0.04,2.17,91.8,82.64,16.78
2000,314,20.17,13.84,0.05,2.19,91.76,86.71,17.68
2000,315,20.58,13.73,0.15,2.58,91.81,84.05,17.59
2000,316,20.77,14.36,0.33,2.69,91.91,86.81,18.29
2000,317,19.82,12.34,0.09,2.32,91.76,80.63,15.9
2000,318,18.34,10.97,0.06,2.23,91.6,79.17,14.05
2000,319,18.24,11.64,0.01,2.57,91.7,82.49,14.97
2000,320,19.06,12.35,0.01,2.9,91.75,83.45,15.92
2000,321,18.96,12.3,0.0,3.0,91.8,83.47,15.86
2000,322,19.07,12.25,0.0,3.05,91.75,82.85,15.77
2000,323,19.41,12.79,0.5,2.15,91.7,84.31,16.41
2000,324,20.74,14.28,0.45,2.24,91.7,86.46,18.18
2000,325,20.86,13.9,1.45,1.87,91.7,84.03,17.76
2000,326,20.52,13.8,1.86,2.33,91.68,85.13,17.64
2000,327,21.29,14.93,2.13,2.93,91.79,87.33,18.9
2000,328,21.68,15.44,2.16,3.5,91.97,88.05,19.47
2000,329,21.06,14.1,0.83,2.29,91.98,84.22,18.02
2000,330,19.16,10.87,0.0,2.0,91.9,75.55,13.93
2000,331,18.69,10.02,0.0,1.84,91.89,72.11,12.7
2000,332,18.51,9.98,0.0,1.84,91.83,72.55,12.63
2000,333,18.91,10.79,0.45,2.16,91.65,74.96,13.81
2000,334,20.49,14.25,3.84,3.51,91.47,85.95,17.93
2000,335,20.75,14.78,4.94,4.34,91.59,88.78,18.72
2000,336,21.48,14.94,0.77,2.51,91.75,86.49,18.91
2000,337,21.23,14.24,0.65,2.44,91.9,84.34,18.18
2000,338,21.52,14.91,1.72,2.36,92.0,86.44,18.91
2000,339,21.83,15.19,1.43,2.54,91.94,86.29,19.21
2000,340,20.21,11.71,0.18,2.19,91.88,75.75,14.98
2000,341,17.77,9.4,0.05,2.42,91.93,72.45,11.65
2000,342,17.11,9.27,0.0,2.41,91.95,74.29,11.49
2000,343,16.65,9.46,0.0,2.5,91.92,76.84,11.85
2000,344,17.04,9.35,0.0,2.32,91.86,75.2,11.63
2000,345,17.0,9.3,0.0,2.11,91.94,74.63,11.54
2000,346,16.98,8.91,0.0,2.24,92.02,72.42,10.9
2000,347,16.6,8.05,0.0,1.96,91.99,68.26,9.31
2000,348,16.54,7.53,0.0,2.2,91.9,65.32,8.32
2000,349,17.14,7.73,0.0,1.92,91.88,64.92,8.73
2000,350,17.11,9.08,0.0,2.19,91.94,72.74,11.19
2000,351,16.97,8.58,0.0,2.61,92.06,70.74,10.3
2000,352,17.4,9.06,0.0,2.56,92.01,72.18,11.15
2000,353,17.71,8.54,0.0,2.09,91.93,68.03,10.17
2000,354,17.47,8.45,0.0,2.15,91.78,67.8,9.96
2000,355,17.31,9.08,0.0,2.72,91.84,72.14,11.12
2000,356,17.84,9.12,0.0,2.71,91.9,71.47,11.2
2000,357,18.32,9.12,0.0,2.52,91.89,68.92,11.19
2000,358,18.87,9.01,0.0,2.49,91.84,66.74,11.03
2000,359,18.02,7.53,0.0,2.41,91.82,61.37,8.14
2000,360,17.83,7.61,0.0,2.54,91.8,62.63,8.24
2000,361,18.45,8.65,0.03,3.19,91.8,66.89,10.37
2000,362,19.15,9.75,0.85,3.58,91.8,69.97,12.2
2000,363,19.89,11.93,2.23,4.04,91.78,77.95,15.38
2000,364,21.36,14.1,6.8,3.59,91.72,82.95,17.95
2000,365,22.08,14.56,2.28,3.0,91.75,82.3,18.5
2000,366,22.32,14.03,0.11,2.44,91.75,78.72,17.91
2001,1,22.22,14.05,0.0,1.32,91.65,78.97,17.92
2001,2,21.83,14.16,0.35,1.64,91.75,80.67,18.07
2001,3,22.01,12.61,0.02,2.05,91.82,72.55,16.22
2001,4,21.39,11.22,0.0,2.81,91.86,69.16,14.38
2001,5,21.35,11.4,0.0,2.85,91.9,70.37,14.68
2001,6,20.2,9.83,0.0,2.49,91.96,67.24,12.02
2001,7,19.68,9.62,0.0,2.2,91.83,67.28,11.9
2001,8,19.4,9.41,0.0,1.98,91.75,67.13,11.62
2001,9,20.65,10.44,0.0,2.25,91.8,68.4,13.26
2001,10,21.14,11.38,0.0,2.25,91.85,70.56,14.65
2001,11,21.52,11.48,0.0,2.19,91.79,69.74,14.76
2001,12,21.82,11.89,0.0,2.86,91.79,70.49,15.34
2001,13,22.1,11.68,0.0,2.52,91.85,68.62,15.05
2001,14,21.11,9.24,0.0,2.75,91.87,60.43,11.34
2001,15,20.78,10.06,0.07,2.81,91.93,66.11,12.7
2001,16,20.72,10.11,0.4,3.21,91.96,66.77,12.66
2001,17,19.8,9.38,0.0,3.45,92.0,65.76,11.57
2001,18,19.85,8.95,0.0,3.06,91.97,63.32,10.92
2001,19,20.58,9.72,0.0,3.19,91.91,64.72,12.17
2001,20,20.43,9.38,0.0,3.33,91.88,63.19,11.65
2001,21,19.86,7.6,0.0,2.39,91.75,56.16,8.16
2001,22,20.35,7.54,0.0,1.47,91.69,55.42,7.93
2001,23,22.5,10.67,0.0,1.99,91.64,64.03,13.42
2001,24,23.17,10.41,0.0,2.71,91.69,59.27,13.08
2001,25,23.27,11.09,0.0,1.62,91.72,61.71,14.17
2001,26,22.23,8.58,0.0,1.96,91.69,54.58,9.63
2001,27,20.7,6.76,0.0,2.19,91.74,49.66,5.95
2001,28,20.38,6.91,0.0,2.51,91.77,52.12,6.31
2001,29,20.37,6.34,0.0,2.74,91.8,47.95,5.01
2001,30,20.17,7.69,0.0,2.1,91.78,53.88,8.46
2001,31,22.49,9.98,0.0,2.49,91.65,58.1,12.45
2001,32,23.3,10.8,0.04,2.66,91.61,60.74,13.62
2001,33,23.42,9.64,0.01,2.1,91.57,56.76,11.49
2001,34,24.87,12.09,0.0,1.51,91.6,61.84,15.34
2001,35,25.58,12.45,0.0,1.8,91.6,59.91,15.8
2001,36,24.7,9.26,0.0,1.73,91.68,47.14,11.32
2001,37,23.78,7.16,0.0,2.25,91.75,42.24,7.28
2001,38,23.36,6.07,0.0,2.83,91.76,36.87,4.96
2001,39,22.89,5.67,0.0,2.48,91.77,36.62,3.71
2001,40,22.7,5.9,0.0,1.8,91.82,40.64,3.58
2001,41,23.41,4.38,0.0,1.22,91.75,28.04,-0.38
2001,42,22.97,3.81,0.0,1.79,91.64,24.72,-1.66
2001,43,23.17,5.13,0.0,2.69,91.69,35.87,1.38
2001,44,22.8,6.69,0.0,2.65,91.75,45.74,5.56
2001,45,22.99,6.68,0.0,2.76,91.72,45.48,5.29
2001,46,23.36,6.74,0.0,2.1,91.74,45.55,5.2
2001,47,23.69,7.38,0.0,1.88,91.84,46.43,7.18
2001,48,24.37,8.18,0.0,2.23,91.85,49.2,8.62
2001,49,25.34,9.75,0.0,2.41,91.83,51.28,11.71
2001,50,26.06,10.24,0.0,1.68,91.86,50.48,12.65
2001,51,26.35,9.35,0.0,1.69,91.82,45.36,11.25
2001,52,26.25,8.72,0.0,2.05,91.67,42.64,10.16
2001,53,26.55,7.79,0.0,1.64,91.67,36.67,8.76
2001,54,26.23,7.04,0.0,2.25,91.74,33.8,7.17
2001,55,25.63,6.81,0.0,1.78,91.76,36.9,5.76
